Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Number of Investments,Number of Diversity Investments,Number of Exits,Founders,Number of Employees,Funding Status,Last Funding Date,Last Funding Type,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Last Leadership Hiring Date,Last Layoff Mention Date,Contact Job Departments,Number of Contacts
Health Hope,https://www.crunchbase.com/organization/health-hope-technology,"Artificial Intelligence (AI), Health Care, Mobile Apps","Beijing, Beijing, China",Health Hope is an AI powered medical technology firm offering health care technology empowerment for smart families.,,2014-01-01,year,,,,Yuxin Li,11-50,Early Stage Venture,2019-01-31,Series A,,,,,,,,,,Private,,,,,,,
Olive Diagnostics,https://www.crunchbase.com/organization/it-s-about-me,"Artificial Intelligence (AI), Health Care, Medical Device","Jerusalem, Yerushalayim, Israel",100% passive sensor mounted to the toilet which optically performs continuous urinalysis to detect and monitor key vital health indicators,,2019-01-14,day,,,,"Corey Katz, Guy Goldman",11-50,Seed,2023-01-09,Grant,,,,,,,,,,Private,,,,,,Management,1
Acryl,https://www.crunchbase.com/organization/acryl-f18c,"Artificial Intelligence (AI), Health Care, Personal Health, Wellness","Seoul, Seoul-t'ukpyolsi, South Korea",Acryl is an AI backed platform that caters to wellbeing and daily well care sector.,,2011-01-01,year,,,,,51-100,,2018-10-25,Venture - Series Unknown,,,,,,,,,,Private,,,,,,,
Revorf,https://www.crunchbase.com/organization/revorf,"Artificial Intelligence (AI), Health Care","Tokyo, Tokyo, Japan",Revorf is a medical technology and drug discovery platform.,,2019-11-11,day,,,,Shinichi Sueda,,Seed,2021-03-08,Seed,,,,,,,,,,Private,,,,,,,
Betterteem,https://www.crunchbase.com/organization/betterteem,"Artificial Intelligence (AI), Enterprise Software, Health Care, Human Resources, Software","Taguig, Rizal, Philippines",Betterteem is a predictive analytics platform that enables businesses to predict unwanted employee resignations.,,2021-05-12,day,,,,"Bo Discarga, Rey Leonard Dumasig",11-50,Seed,2023-02-08,Pre-Seed,,,,,,,,,,Private,,,,,,,1
DermAI,https://www.crunchbase.com/organization/dermai-640c,"Artificial Intelligence (AI), Health Care","Taipei, T'ai-pei, Taiwan",DermAI focuses on leveraging AI to improve skincare by offering online skin consultations.,,2018-01-01,year,,,,"Yen-Po Harvey Chin, Yu-Chuan Jack Li",11-50,Seed,2020-03-01,Seed,,,,,,,,,,Private,,,,,,,
12 Sigma Technologies,https://www.crunchbase.com/organization/12-sigma-technologies,"Artificial Intelligence (AI), Computer, Health Care, Medical Device, Software","Beijing, Beijing, China",12 Sigma Technologies is a software company focused on bringing artificial intelligence solutions to medical diagnosis.,,2015-01-01,year,,,,"Dashan Gao, Xin Zhong",11-50,Early Stage Venture,2017-12-01,Series B,,,,,,,,,,Private,,,,,,,
Hollo Limited,https://www.crunchbase.com/organization/hollo-limited,"Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care, Health Diagnostics, Information Technology, Mental Health, Personal Health, Software, Wellness","Central and Western, Hong Kong Island, Hong Kong","SaaS, Digital Therapeutics, Healthtech, Mental Health",,2020-06-26,day,,,,"Ajit Krishna Namakkal Raghavendran, Cameron Van Breda",1-10,Seed,2023-09-01,Angel,,,,,,,,,,Private,,,,,,,
AIDOC,https://www.crunchbase.com/organization/aidoc-a549,"Artificial Intelligence (AI), Big Data, Health Care, Software","Tianyi, Liaoning, China",AIDOC is the pioneer in the field of distributed intelligent medical treatment and the world's first project to mine with life data...,,2015-01-01,month,,,,,11-50,Late Stage Venture,2022-06-16,Series D,,,,,,,,,,Private,,,,,,,
NeoCura,https://www.crunchbase.com/organization/neocure,"Artificial Intelligence (AI), Biotechnology, Health Care, Software","Beijing, Beijing, China",NeoCura provides an AI medical platform to improve the precision diagnosis and treatment of tumors.,,2017-01-01,year,,,,,101-250,Early Stage Venture,2021-12-21,Series A,,,,,,,,,,Private,,,,,,Information Technology,1
Landing Medical High Technology,https://www.crunchbase.com/organization/wuhan-landing-medical-high-technology,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical, Medical Device","Wuhan, Hubei, China",Landing Shares is an AI-driven med-tech firm that develops artificial intelligence cervical cancer screening diagnostic technology.,,2000-01-01,year,,,,Sun Xiaorong,51-100,Late Stage Venture,2021-11-10,Series D,,,,,,,,,,Private,,,,,,,1
EntityMed,https://www.crunchbase.com/organization/entitymed,"Artificial Intelligence (AI), Cosmetic Surgery, Health Care, Software","Herzliya, Tel Aviv, Israel",EntityMed is a digital aesthetic company which has developed patented AI software that predicts the results of facial aesthetic procedures.,,2020-12-15,day,,,,Lior Yadin,1-10,Seed,2022-02-01,Seed,,,,,,,,,,Private,,,,,,,3
LiveCare,https://www.crunchbase.com/organization/livecare-8218,"Artificial Intelligence (AI), Health Care, Livestock, Machine Learning","Songpadong, Seoul-t'ukpyolsi, South Korea",LiveCare provides IoT and AI-based livestock healthcare services.,,2012-10-31,day,,,,,51-100,Early Stage Venture,2020-08-24,Series A,,,,,,,,,,Private,,,,,,,
SportScientia,https://www.crunchbase.com/organization/sportscientia,"Analytics, Artificial Intelligence (AI), Fitness, Health Care, Health Diagnostics, Machine Learning, Predictive Analytics, Rehabilitation, Software","Singapore, Central Region, Singapore",Health Tech company making the foot a great source of data for health,,2016-06-07,day,,,,"Daniel Vale, Peter Lazou",1-10,Seed,2023-01-01,Seed,,,,,,,,,,Private,,,,,,Sales,2
adoc,https://www.crunchbase.com/organization/adoc-2d3b,"Artificial Intelligence (AI), Health Care, Medical","Yeoksamdong, Seoul-t'ukpyolsi, South Korea","adoc provides medical records, discount medical examination, check AI symptoms and compare hospital expenses services.",,2018-01-02,day,,,,,,Early Stage Venture,2021-11-22,Series A,,,,,,,,,,Private,,,,,,,
Maxwell Plus,https://www.crunchbase.com/organization/maxwell-mri,"Artificial Intelligence (AI), Health Care, Medical","Brisbane, Queensland, Australia",Maxwell Plus is an AI platform for data driven clinical diagnostics.,,2016-09-01,day,,,,"Elliot Smith, Matthew Brown",11-50,Seed,2022-03-31,Non-equity Assistance,,,,,,,,,,Private,,,,,,Management,2
Oceans BIo,https://www.crunchbase.com/organization/oceans-bio,"Artificial Intelligence (AI), Health Care, Medical","Seongnam, Kyonggi-do, South Korea",Oceans BIo use AI technology to treat epilepsy.,,,,,,,,,Seed,2023-05-15,Seed,,,,,,,,,,Private,,,,,,,
AccuLine,https://www.crunchbase.com/organization/acculine,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical Device","Petah Tiqva, HaMerkaz, Israel",Preventing the next heart attack,,2022-01-01,year,,,,"Aaron Frimerman, Benny Shani, Moshe Barel, Shai Revzen",1-10,Seed,2022-08-01,Pre-Seed,,,,,,,,,,Private,,,,,,"Engineering, Operations",7
KYAN Therapeutics,https://www.crunchbase.com/organization/kyan-therapeutics,"Artificial Intelligence (AI), Biopharma, Biotechnology, Health Care, Life Science, Machine Learning, Pharmaceutical, Therapeutics","Singapore, Central Region, Singapore",KYAN Therapeutics is a clinical-stage AI company leveraging its proprietary technology platforms to transform the way patients are treated.,,2014-06-10,day,,,,"Dean Ho, Edward Chow",1-10,Seed,2022-10-26,Seed,,,,,,,,,,Private,,,,,,,1
Oxitone Medical,https://www.crunchbase.com/organization/oxitone,"Artificial Intelligence (AI), Health Care, Home Health Care, Medical Device, mHealth, Wearables","Kfar Saba, HaMerkaz, Israel","Oxitone is a medtech and digital health company that offers patient monitoring support for stress, anxiety, and chronic conditions.",,2010-01-01,year,,,,"Leon Eisen, Ofer Harpak",11-50,Seed,2020-09-01,Convertible Note,,,,,,,,,,Private,,,,,,"Engineering, Management",3
Remebot,https://www.crunchbase.com/organization/remebot,"Artificial Intelligence (AI), Health Care, Robotics","Beijing, Beijing, China",Remebot is an AI & Robotics company.,,2010-01-01,year,,,,Da Liu,251-500,Late Stage Venture,2020-12-16,Series D,,,,,,,,,,Private,,,,,,,
HeartLab,https://www.crunchbase.com/organization/heartlab-4b34,"Analytics, Artificial Intelligence (AI), Fitness, Health Care, Machine Learning, Software","Auckland, Auckland, New Zealand",HeartLab is aTransforming cardiology with artificial intelligence.,,2018-09-01,month,,,,"Patrick Gladding, Will Hewitt, Zaid Ismail",11-50,Seed,2021-09-16,Seed,,,,,,,,,,Private,,,,,,"Engineering, Management, Operations",4
Heuron,https://www.crunchbase.com/organization/heuron,"Artificial Intelligence (AI), Computer Vision, Health Care, Health Diagnostics, Image Recognition, Information Technology, Machine Learning, Medical Device, Software","Incheon, Inch'on-jikhalsi, South Korea","Heuron co., Ltd. is an AI-based medical imaging and diagnostic solutions for Neurodegenerative disease.",,2017-11-24,day,,,,Donghoon Shin,101-250,Early Stage Venture,2021-05-31,Series A,,,,,,,,,,Private,,,,,,,
SOCIUM Inc,https://www.crunchbase.com/organization/socium,"Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning, Pharmaceutical","Tokyo, Tokyo, Japan",SOCIUM is an AI-powered drug discovery and development company focused on first-in-class small molecules.,,2017-09-01,day,,,,"Katsuhisa Horimoto, Manabu Takahashi",1-10,Seed,2018-10-12,Seed,,,,,,,,,,Private,,,,,,,
Yaoyanshe,https://www.crunchbase.com/organization/yaoyanshe,"Artificial Intelligence (AI), Biotechnology, Clinical Trials, Health Care, Pharmaceutical","Shanghai, Shanghai, China",Yaoyanshe is a CRO technology platform that focuses on providing innovative clinical research services for the medical industry.,,2015-02-17,day,,,,Meilin Sun,501-1000,Late Stage Venture,2020-08-10,Series D,,,,,,,,,,Private,,,,,,,
NeuroBrave,https://www.crunchbase.com/organization/neurobrave,"Artificial Intelligence (AI), Health Care, Neuroscience, Software, Wearables","Tel Aviv, Tel Aviv, Israel",Providing access to real-time cognitive and emotional states through everyday wearable devices,,2020-07-01,month,,,,"Dror Talisman, Oleg Aryutkin",11-50,Seed,2022-08-19,Angel,,,,,,,,,,Private,,,,,,,
eko.ai,https://www.crunchbase.com/organization/eko-ai,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning","Singapore, Central Region, Singapore",eko.ai is automating the fight against heart disease using machine learning to democratize echo reading and disease prediction.,,2017-08-16,day,,,,"James Hare, Yoran Hummel",11-50,Seed,2020-01-07,Seed,,,,,,,,,,Private,,,,,,,
Jianhai Technology,https://www.crunchbase.com/organization/hangzhou-jianhai-technology,"Artificial Intelligence (AI), Health Care, Medical","Hangzhou, Zhejiang, China",Jianhai Technology is an AI whole-course management platform that provides users with post-hospital & post-diagnosis management services.,,2015-01-01,year,,,,Jian Wang,11-50,Early Stage Venture,2021-11-08,Series B,,,,,,,,,,Private,,,,,,,
Zdeer,https://www.crunchbase.com/organization/zdeer,"Artificial Intelligence (AI), Health Care, Medical, Medical Device","Wuhan, Hubei, China",Zdeer is a health tech brand focusing on artificial intelligence health and consumer medicine.,,2014-01-01,year,,,,Jiangtao Zhu,101-250,Early Stage Venture,2023-06-01,Series B,,,,,,,,,,Private,,,,,,,
Immunify.Life,https://www.crunchbase.com/organization/immunify-life,"Apps, Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care, Mobile Apps","Sydney, New South Wales, Australia",Immunify.Life incentvises the collectrion and commercailastion.,,2021-01-01,year,,,,,1-10,Seed,2022-09-16,Seed,,,,,,,,,,Private,,,,,,,
Pearlii Pty Ltd,https://www.crunchbase.com/organization/pearlii,"Artificial Intelligence (AI), Dental, Health Care, Home Health Care, Information Technology","Melbourne, Victoria, Australia","Pearlii provides free dental check-ups using world-first AI, free education, and donates 50% of profits to providing free dental care",,2019-12-11,day,,,,"Dan Borthwick, Kyle Turner",11-50,Seed,2022-04-01,Convertible Note,,,,,,,,,,Private,,,,,,,
Ibex Medical Analytics,https://www.crunchbase.com/organization/ibex-medical-analytics,"Analytics, Artificial Intelligence (AI), Health Diagnostics, Machine Learning","Tel Aviv-yafo, Tel Aviv, Israel",IBEX is a Medical technology manufacturer that develops AI-powered diagnostic solutions to help pathologists.,,2016-01-01,year,,,,"Chaim Linhart, Joseph Mossel",51-100,Late Stage Venture,2023-09-06,Series C,,,,,,,,,,Private,,,,,,"Engineering, Finance, Human Resources, Information Technology, Management, Operations, Sales",30
Harrison.ai,https://www.crunchbase.com/organization/harrison-ai,"Artificial Intelligence (AI), Health Care, Medical, Medical Device","Barongarook, Victoria, Australia",Harrison.ai is a clinician-led healthcare AI company using deep learning to improve the odds of IVF success for thousands of patients.,,2018-01-01,year,,,,"Dimitry Tran, Dr Aengus Tran",51-100,Early Stage Venture,2021-12-01,Series B,,,,,,,,,,Private,,,,,,"Engineering, Finance, Human Resources, Legal, Management, Medical & Science, Operations, Pro Services",28
Lemonbox,https://www.crunchbase.com/organization/lemonbox-c9f8,"Artificial Intelligence (AI), Health Care, Nutrition, Personal Health, Wellness","Seoul, Seoul-t'ukpyolsi, South Korea",Lemonbox is health company that offers customized vitamins made with self-developed artificial intelligence and nutrition experts.,,,,,,,,,Seed,2022-06-10,Seed,,,,,,,,,,Private,,,,,,,
CROSS SYNC,https://www.crunchbase.com/organization/cross-sync,"Artificial Intelligence (AI), Health Care, Medical, Medical Device","Tokyo, Tokyo, Japan","AI, SAMD, Application",,2019-10-11,day,,,,Shunsuke Takagi,11-50,Early Stage Venture,2023-02-16,Series A,,,,,,,,,,Private,,,,,,,
Fedo,https://www.crunchbase.com/organization/fedo,"Artificial Intelligence (AI), Computer Vision, Health Care, InsurTech","Bangalore, Karnataka, India","Fedo, extract vitals, predicts health risks and the associated costs from a 14-second selfie video.",,2018-03-21,day,,,,Prasanth Madavana,11-50,Seed,2020-11-03,Seed,,,,,,,,,,Private,,,,,,"Information Technology, Operations",3
Serenus.AI,https://www.crunchbase.com/organization/medecide,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Health Insurance, InsurTech, Machine Learning","Tel Aviv-jaffa, Tel Aviv, Israel",Serenus.AI is an AI-based platform that provides medical decision-making system.,,2017-03-15,day,,,,"Dan Berachowitz, Hillary (Orly) Harel, Prof. Josef Elidan",11-50,Seed,2020-08-01,Grant,,,,,,,,,,Private,,,,,,Operations,2
Deep Intelligent Pharma,https://www.crunchbase.com/organization/deep-intelligent-pharma,"Artificial Intelligence (AI), Biotechnology, Health Care, Pharmaceutical","Wangjing, Beijing, China",Deep Intelligent Pharma is a Beijing based Healthcare company.,,2017-01-01,year,,,,Xing Li,101-250,Early Stage Venture,2018-10-09,Series B,,,,,,,,,,Private,,,,,,,
Pioneera,https://www.crunchbase.com/organization/pioneera-f599,"Apps, Artificial Intelligence (AI), Health Care, Machine Learning, Management Information Systems, Mental Health, Software, Wellness","Sydney, New South Wales, Australia","Pioneera is the grammarly for mental health, using AI to identify and prevent workplace burn out and other mental health issues.",,2018-01-28,day,,,,Danielle Owen Whitford,1-10,,2021-12-01,Venture - Series Unknown,,,,,,,,,,Private,,,,,,"Management, Operations",2
DermaDetect,https://www.crunchbase.com/organization/dermadetect,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical Device, Personal Health, Therapeutics","Rehovot, HaMerkaz, Israel",AI-Driven Diagnostics Platform For Skin Disorders,,2016-01-01,year,,,,"Dr. Guy Steuer, Eugene Dicker, Gennadi Schechtmann, Prof. Arieh Ingber",1-10,Seed,2022-08-21,Seed,,,,,,,,,,Private,,,,,,,
AMCG,https://www.crunchbase.com/organization/amcg,"Artificial Intelligence (AI), Health Diagnostics, Medical Device","Seocho, Seoul-t'ukpyolsi, South Korea",Developer of medical diagnostic devices designed to detect cardiac-related conditions.,,2021-01-01,year,,,,,11-50,Early Stage Venture,2021-12-28,Series A,,,,,,,,,,Private,,,,,,,
SUIMIN,https://www.crunchbase.com/organization/suimin,"Artificial Intelligence (AI), Health Care, Medical, Sales","Tsukuba, Ibaraki, Japan",S'UIMIN is a developer of sleep study services that leverage electroencephalography (brain wave) devices and AI technology.,,2017-10-17,day,,,,,1-10,,2019-02-14,Corporate Round,,,,,,,,,,Private,,,,,,,
IR-MED,https://www.crunchbase.com/organization/ir-med,"Artificial Intelligence (AI), Health Diagnostics, Machine Learning, Medical Device, Real Time","Rosh Pinna, HaZafon, Israel",IR-MED is a medical device company that focuses on infrared light-based diagnostics.,,2012-09-01,day,,,,Ronnie Klein,11-50,IPO,2022-04-14,Post-IPO Equity,,,,,,,,,,Public,2013-04-17,,,2023-10-04,,,
Dianei,https://www.crunchbase.com/organization/dianei,"Artificial Intelligence (AI), Health Care, Medical, Precision Medicine","Shanghai, Shanghai, China",Dianei is a medical artificial intelligence enterprise in precision medicine.,,2016-04-11,day,,,,Liang Ge,11-50,,2017-11-01,Venture - Series Unknown,,,,,,,,,,Private,,,,,,"Engineering, Information Technology, Legal, Operations",55
Ubie,https://www.crunchbase.com/organization/ubie,"Artificial Intelligence (AI), Health Care, Machine Learning, Medical, SaaS","Tokyo, Tokyo, Japan","Ubie is a Tokyo based health-tech startup, that provides AI-based healthcare products, hospital SaaS products, and AI symptom checkers.",,2017-05-01,day,,,,"Abe Yoshinori, Kubo Kota",101-250,Late Stage Venture,2022-12-08,Series C,,,,,,,,,,Private,,,,,,"Engineering, Information Technology",13
LBT Innovations Limited,https://www.crunchbase.com/organization/lbt-innovations-limited,"Artificial Intelligence (AI), Clinical Trials, Health Care, Health Diagnostics, Medical Device","Adelaide, South Australia, Australia",Designer of platform AI and intelligent imaging technology for automated analysis of microbiology processes.,,2004-01-01,year,,,,Lusia Guthrie,11-50,IPO,2018-02-19,Post-IPO Debt,,,,,,,,,,Public,2006-07-31,,,,,"Engineering, Management, Medical & Science, Pro Services, Support",15
Comedi Health Technology Limited,https://www.crunchbase.com/organization/comedi-health-technology-limited,"Artificial Intelligence (AI), Health Care, Image Recognition, Machine Learning, Medical, Medical Device, mHealth, Telehealth","Hong Kong, Hong Kong Island, Hong Kong",Comedi Health is a platform that provides telemedicine services by using innovative computer vision and deep learning technologies.,,2021-05-31,day,,,,Colin Chan,11-50,Seed,2021-11-01,Seed,,,,,,,,,,Private,,,,,,,
Alike,https://www.crunchbase.com/organization/alike-9be7,"Artificial Intelligence (AI), Health Care","Tel Aviv, Tel Aviv, Israel",Alike is a Tel Aviv-based digital health startup.,,2020-02-01,month,,,,"Amnon Bar-Lev, Ohad Zadok, Varda Shalev",1-10,Seed,2021-10-05,Non-equity Assistance,,,,,,,,,,Private,,,,,,,
RXThinking,https://www.crunchbase.com/organization/rxthinking,"Artificial Intelligence (AI), Big Data, Health Care","Haidian, Beijing, China",RXThinking is an AI smart medical big data health company.,,2015-09-29,day,,,,Kan Deng,51-100,Early Stage Venture,2018-08-06,Series B,,,,,,,,,,Private,,,,,,,
Smart119,https://www.crunchbase.com/organization/smart119,"Artificial Intelligence (AI), Health Care, Machine Learning, Medical, Software","Chiba-shi, Chiba, Japan",Improving emergency and critical care by computer science and artificial intelligence.,,2018-05-16,day,,,,"Takaaki Nakada, Takaaki Nakata, Yasuo Yamao",51-100,Early Stage Venture,2021-08-10,Series B,,,,,,,,,,Private,,,,,,,
healsgood.ai,https://www.crunchbase.com/organization/healsgood-ai,"Artificial Intelligence (AI), Health Care, Health Diagnostics","Dubai, Dubai, United Arab Emirates","Primary care Ai diagnosis and triage, telehealth and traditional healthcare",,2022-06-20,day,,,,"Jack Henderson, Matthew Heslam",11-50,Early Stage Venture,2023-07-01,Series A,,,,,,,,,,Private,,,,,,,
Wizermed,https://www.crunchbase.com/organization/wizermed,"Artificial Intelligence (AI), Health Care, mHealth, Software","Tel Aviv, Tel Aviv, Israel","Healthcare, Migraine Management, Mobile App",,2023-06-01,month,,,,"Dan Yamin, Erez Shmueli, Guy Attar",1-10,Seed,2023-08-19,Pre-Seed,,,,,,,,,,Private,,,,,,,
Taliaz,https://www.crunchbase.com/organization/taliaz,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical, Mental Health, mHealth, Personal Health, Predictive Analytics, Software","Tel Aviv, Tel Aviv, Israel","Taliaz is harnessing its proprietary AI platform, PREDICTIX , to improve mental health assessment, management and prescribing decisions.",,2012-01-01,year,,,,"Dr. Dekel Taliaz, Oren Taliaz",1-10,Seed,2019-01-01,Grant,,,,,,,,,,Private,,,,,,Operations,2
Docspe,https://www.crunchbase.com/organization/docspe,"Artificial Intelligence (AI), Electronic Health Record (EHR), Machine Learning, Predictive Analytics, SaaS, Software, Telehealth","Kuala Lumpur, Kuala Lumpur, Malaysia",AI Medical-Resident & Operating System for Healthcare.,,2020-10-20,day,,,,Ahmed Shochin,11-50,Seed,2023-04-19,Pre-Seed,,,,,,,,,,Private,,,,,,,
iMed Technologies,https://www.crunchbase.com/organization/imed-technologies,"Artificial Intelligence (AI), Health Care, Machine Learning, Medical, Nursing and Residential Care, Software, Video","Tokyo, Tokyo, Japan",iMed Technologies develops surgery support AI using video analysis to realize safe surgery for cerebral infarction.,,2019-01-01,year,,,,"Kenichi Kono, Motohisa Kaneko",1-10,,2020-10-01,Venture - Series Unknown,,,,,,,,,,Private,,,,,,,
GoQba technology corp.,https://www.crunchbase.com/organization/goqba-technology-corporation,"Artificial Intelligence (AI), Health Care, Software","Seongnam, Kyonggi-do, South Korea",Mixed Reality Based Digital Therapeutics for Alzheimer's Disease,,2017-01-01,year,,,,Jin young Park,1-10,Seed,2020-08-31,Seed,,,,,,,,,,Private,,,,,,,
Kāhu,https://www.crunchbase.com/organization/kāhu,"Artificial Intelligence (AI), Health Care, Medical Device","Auckland, Auckland, New Zealand",Kāhu is the Kiwi AI cancer-detection startup.,,2021-01-01,year,,,,,1-10,Seed,2021-07-07,Seed,,,,,,,,,,Private,,,,,,,
Deep Medi,https://www.crunchbase.com/organization/deep-medi,"Apps, Artificial Intelligence (AI), Health Care","Yeoksamdong, Seoul-t'ukpyolsi, South Korea",Deep Medi provides an AI-based health information measurement solution.,,2017-07-20,day,,,,,1-10,,2019-10-09,Venture - Series Unknown,,,,,,,,,,Private,,,,,,,
Sustainable Medicine,https://www.crunchbase.com/organization/sustainable-medicine,"Artificial Intelligence (AI), Health Care, Nursing and Residential Care, Task Management","Tokyo, Tokyo, Japan",Sustainable Medicine AI automatic analysis system Development company.,,2015-01-01,year,,,,Taro Ueno,1-10,,2020-10-30,Corporate Round,,,,,,,,,,Private,,,,,,,
Livo.ai,https://www.crunchbase.com/organization/livo-ai,"Artificial Intelligence (AI), Biotechnology, Health Care, Health Diagnostics, Machine Learning","Hyderabad, Andhra Pradesh, India","Re-envisioning blood diagnostics, making it accessible, affordable and accurate.",,2018-02-05,day,,,,"Dr. Junaid Shaik, Faisal Sheikh, Faisal Sheikh",11-50,Seed,2018-05-02,Seed,,,,,,,,,,Private,,,,,,,
Huinno Aim,https://www.crunchbase.com/organization/huinno-aim,"Artificial Intelligence (AI), Health Care, Medical Device, Software","Seongdong, Kyonggi-do, South Korea",Huinno Aim is a clinical decision support system platform that designs wearable device based on AI technology for the medical industry.,,2022-01-01,year,,,,,1-10,Seed,2022-08-17,Seed,,,,,,,,,,Private,,,,,,,
Answer Genomics,https://www.crunchbase.com/organization/answer-genomics,"Artificial Intelligence (AI), Biotechnology, Health Care","New Delhi, Delhi, India","Answer Genomics combines genomic, physiological, and physical parameters to provide a comprehensive picture of present and future health.",,2018-12-13,day,,,,"Balamurali A R, Rahul Ranganathan",1-10,Seed,2023-10-05,Seed,,,,,,,,,,Private,,,,,,,
Grow Fit,https://www.crunchbase.com/organization/grow-fit,"Artificial Intelligence (AI), Health Care, Mobile Apps, Wellness","Bangalore, Karnataka, India",Grow Fit is a mobile health companion that uses artificial intelligence.,,2015-09-01,month,,,,Jyotsna Pattabiraman,11-50,Early Stage Venture,2017-06-21,Series A,,,,,,,,,,Private,,,,,,,
Heroic-Faith Medical Science,https://www.crunchbase.com/organization/heroic-faith-medical-science,"Artificial Intelligence (AI), Health Care, Information Technology, Medical Device","Taipei, T'ai-pei, Taiwan",Improving the safety of procedural sedation with AI-powered Continuous Breathing Sound Monitor.,,2018-01-01,year,,,,"Fushun Hsu, Yuang Ren Cheng",11-50,Early Stage Venture,2020-07-01,Series A,,,,,,,,,,Private,,,,,,,
Dimensionless Technology,https://www.crunchbase.com/organization/dimensionless-technology,"Artificial Intelligence (AI), Health Care, Pharmaceutical, Software","Vashi, Maharashtra, India",Dimensionless Technology is an AI products and solutions company solving different problems across Healthcare and Pharmaceutical industry,,2016-01-01,day,,,,"Himanshu Arora, Kushagra Singhania",11-50,Seed,2023-08-10,Seed,,,,,,,,,,Private,,,,,,,
iMedis Medical,https://www.crunchbase.com/organization/imedis-medical,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical Device","Ra'anana, HaMerkaz, Israel",IMedis is an artificial intelligence company focused on early cancer detection.,,2018-01-01,year,,,,"Aviel Blumenfeld, Tomer Glottman, Yitzi Pfeffer",11-50,Seed,2020-01-07,Seed,,,,,,,,,,Private,,,,,,,
Aikenist,https://www.crunchbase.com/organization/aikenist,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Life Science","Bangalore, Karnataka, India","Aikenist is a health tech firm that offers AI-based medical imaging solutions for quicker scanning, better detection, and faster turnaround.",,2019-01-01,year,,,,,11-50,Seed,2022-11-01,Pre-Seed,,,,,,,,,,Private,,,,,,,
Droobi Health,https://www.crunchbase.com/organization/droobi-health,"Artificial Intelligence (AI), Health Care, Medical, Therapeutics","Doha, Ad Dawhah, Qatar",A digital behavioral  company  to  empowering people with chronic conditions through healthier lifestyle,,2017-01-01,year,,,,"Abdulla Almesned, Majed Lababidi, Trio Investment",11-50,,2018-05-05,Convertible Note,,,,,,,,,,Private,,,,,,"Management, Operations",2
emol,https://www.crunchbase.com/organization/emol,"Apps, Artificial Intelligence (AI), Beauty, Health Care, Machine Learning","Kyoto, Kyoto, Japan",emol is an application that records emotions and talks with AI robots.,,2019-03-18,day,,,,Saori Chikami,1-10,Seed,2019-12-02,Seed,,,,,,,,,,Private,,,,,,,
Sensi.Ai,https://www.crunchbase.com/organization/clanz-technologies,"Artificial Intelligence (AI), Elder Care, Health Care, Machine Learning, Natural Language Processing, Physical Security, Security, Speech Recognition","Tel Aviv, Tel Aviv, Israel","The first in-home virtual care agent, leveraging AI to enable home care agencies to offer 24/7 services.",,2019-07-01,day,,,,"Keren Etkin, Nevo Elmalem, Romi Gubes",11-50,Early Stage Venture,2021-12-12,Series A,,,,,,,,,,Private,,,,2023-12-21,,"Engineering, Information Technology, Management",22
uCare.ai,https://www.crunchbase.com/organization/ucare-io,"Artificial Intelligence (AI), Health Care, Predictive Analytics","Singapore, Central Region, Singapore",UCare.ai is a Singapore-based Artificial Intelligence-powered healthcare startup.,,2016-01-01,year,,,,"Christina Teo, Neal Liu",11-50,Early Stage Venture,2018-05-16,Series A,,,,,,,,,,Private,,,,,,,
Wision A.I.,https://www.crunchbase.com/organization/wision-ai,"Artificial Intelligence (AI), Biotechnology, Health Diagnostics, Machine Learning, Medical Device","Shanghai, Shanghai, China","Build Computer Aided Diagnosis (CAD) algorithms and systems in clinical imaging, to improve diagnostic accuracy and effectiveness.",,2016-11-01,day,,,,"JingJia Liu, Xiao ( Sophie ) Xiao",11-50,Early Stage Venture,2018-07-18,Series A,,,,,,,,,,Private,,,,,,Operations,2
Yitu Technology,https://www.crunchbase.com/organization/yitu-technology,"Apps, Artificial Intelligence (AI), Computer Vision, Finance, Health Care, Machine Learning, Natural Language Processing","Shanghai, Shanghai, China","YITU Technology integrates state-of-the-art AI technologies with industrial applications to build a safer, faster and healthier world.",,2012-01-01,year,2,,,"Lin Chenxi, Zhu Long",501-1000,Private Equity,2022-02-18,Private Equity,,,,,,,,,,Private,,,,,,"Engineering, Product",3
